Player,Matches_x,Innings_x,Not Out,Runs_x,Highest Score,Average_x,Balls Faced,Strike Rate_x,100,50,0,4s,6s,Batting Position,Boundary %,Matches_y,Innings_y,Balls,Overs,Maidens,Runs_y,Wickets,Average_y,Economy,Strike Rate_y,4 wickets,5 wickets
T Stubbs (MI),,,,,,,,,,,,,,,,2.0,1.0,12.0,2.0,0.0,14.0,1.0,14.0,7.0,12.0,0.0,0.0
RJW Topley (RCB),,,,,,,,,,,,,,,,1.0,1.0,12.0,2.0,0.0,14.0,1.0,14.0,7.0,12.0,0.0,0.0
R Powell (DC),,,,,,,,,,,,,,,,3.0,1.0,12.0,2.0,0.0,18.0,1.0,18.0,9.0,12.0,0.0,0.0
P Dubey (DC),,,,,,,,,,,,,,,,1.0,1.0,18.0,3.0,0.0,19.0,1.0,19.0,6.33,18.0,0.0,0.0
MM Sharma (GT),,,,,,,,,,,,,,,,14.0,14.0,265.0,44.1,0.0,361.0,27.0,13.37,8.17,9.81,2.0,1.0
YS Chahal (RR),,,,,,,,,,,,,,,,14.0,14.0,317.0,52.5,0.0,432.0,21.0,20.57,8.17,15.09,3.0,0.0
Mohammed Siraj (RCB),,,,,,,,,,,,,,,,14.0,14.0,300.0,50.0,0.0,375.0,19.0,19.73,7.5,15.78,1.0,0.0
Arshdeep Singh (PBKS),,,,,,,,,,,,,,,,14.0,14.0,305.0,50.5,0.0,493.0,17.0,29.0,9.69,17.94,1.0,0.0
A Madhwal (MI),,,,,,,,,,,,,,,,8.0,8.0,153.0,25.3,0.0,219.0,14.0,15.64,8.58,10.92,1.0,1.0
Yash Thakur (LSG),,,,,,,,,,,,,,,,9.0,9.0,191.0,31.5,0.0,289.0,13.0,22.23,9.07,14.69,1.0,0.0
NT Ellis (PBKS),,,,,,,,,,,,,,,,10.0,10.0,228.0,38.0,0.0,339.0,13.0,26.07,8.92,17.53,1.0,0.0
M Markande (SRH),,,,,,,,,,,,,,,,10.0,10.0,228.0,38.0,0.0,300.0,12.0,25.0,7.89,19.0,1.0,0.0
Naveen-ul-Haq (LSG),,,,,,,,,,,,,,,,8.0,7.0,168.0,28.0,0.0,219.0,11.0,19.89,7.82,15.27,1.0,0.0
Mohammed Shami (GT),,,,,,,,,,,,,,,,17.0,17.0,390.0,65.0,2.0,522.0,28.0,18.64,8.03,13.92,2.0,0.0
CV Varun (KKR),,,,,,,,,,,,,,,,14.0,14.0,316.0,52.4,1.0,429.0,20.0,21.45,8.14,15.8,1.0,0.0
TA Boult (RR),,,,,,,,,,,,,,,,10.0,10.0,228.0,38.0,3.0,312.0,13.0,24.0,8.21,17.53,0.0,0.0
MA Wood (LSG),,,,,,,,,,,,,,,,4.0,4.0,96.0,16.0,1.0,130.0,11.0,11.81,8.12,8.72,0.0,1.0
M Theekshana (CSK),,,,,,,,,,,,,,,,13.0,13.0,294.0,49.0,1.0,392.0,11.0,35.63,8.0,26.72,0.0,0.0
Kuldeep Yadav (DC),,,,,,,,,,,,,,,,14.0,14.0,294.0,49.0,1.0,361.0,10.0,36.1,7.36,29.4,0.0,0.0
KK Ahmed (DC),,,,,,,,,,,,,,,,9.0,9.0,198.0,33.0,2.0,301.0,9.0,33.44,9.12,22.0,0.0,0.0
CJ Jordan (MI),,,,,,,,,,,,,,,,6.0,6.0,132.0,22.0,1.0,237.0,3.0,79.0,10.77,44.0,0.0,0.0
