Bowler,Total Matches Bowled,Balls Bowled,Runs Conceded,Bowling Economy,Bowling Strike Rate,Bowling Average,Dot Ball %,Wickets Taken
Ben S,1,6,18,18.0,0,0,33.33333333333333,0
Moeen Ali,11,157,194,7.414012738853502,17.444444444444443,21.555555555555557,69.42675159235668,9
Anrich Nortje,10,251,347,8.294820717131476,22.818181818181817,31.545454545454547,65.73705179282868,11
Mitchell Marsh,8,132,159,7.2272727272727275,11.0,13.25,70.45454545454545,12
David Willey,4,94,101,6.446808510638299,23.5,25.25,73.40425531914893,4
Shahbaz Ahmed,5,42,95,13.571428571428571,42.0,95.0,45.23809523809524,1
Suyash Sharma,11,239,314,7.882845188284518,21.727272727272727,28.545454545454547,67.36401673640168,11
Deepak Hooda,1,6,8,8.0,0,0,66.66666666666666,0
Amit Mishra,7,115,148,7.721739130434782,16.428571428571427,21.142857142857142,67.82608695652173,7
Aiden Markram,6,49,70,8.571428571428571,49.0,70.0,65.3061224489796,1
Rovman Powell,1,14,16,6.857142857142857,14.0,16.0,71.42857142857143,1
Sandeep Sharma,12,290,380,7.862068965517241,19.333333333333332,25.333333333333332,67.24137931034483,15
Murugan Ashwin,2,25,52,12.48,0,0,48.0,0
Sisanda Magala,2,37,50,8.108108108108109,37.0,50.0,67.56756756756756,1
Dwaine Pre,1,28,24,5.142857142857142,0,0,78.57142857142857,0
Kumar Kartikeya,8,163,219,8.061349693251534,32.6,43.8,66.87116564417178,5
Lockie Ferguson,3,50,80,9.600000000000001,50.0,80.0,60.0,1
Marco Jansen,8,178,231,7.786516853932584,17.8,23.1,67.97752808988764,10
Mayank Markande,10,230,297,7.747826086956522,19.166666666666668,24.75,67.82608695652173,12
Mohit Rathee,1,12,29,14.5,0,0,41.66666666666667,0
Wayne Parnell,7,157,230,8.789808917197451,17.444444444444443,25.555555555555557,63.69426751592356,9
Riley Meredith,5,126,192,9.142857142857142,18.0,27.428571428571427,61.904761904761905,7
Tilak Varma,1,7,6,5.142857142857142,0,0,85.71428571428571,0
Mustafizur Rahman,2,42,79,11.285714285714285,42.0,79.0,54.761904761904766,1
Lalit Yadav,4,82,114,8.341463414634145,27.333333333333332,38.0,65.85365853658537,3
Akash Singh,6,117,185,9.487179487179487,23.4,37.0,60.68376068376068,5
Maheesh Theekshana,13,298,387,7.791946308724833,27.09090909090909,35.18181818181818,67.78523489932886,11
Kuldeep Sen,2,19,23,7.2631578947368425,0,0,73.68421052631578,0
Adam Zampa,6,133,186,8.390977443609023,14.777777777777779,20.666666666666668,65.41353383458647,9
Mohit Sharma,14,268,355,7.947761194029851,8.64516129032258,11.451612903225806,67.16417910447761,31
Kagiso Rabada,6,147,217,8.857142857142858,21.0,31.0,63.26530612244898,7
Matthew Short,3,25,24,5.76,0,0,76.0,0
Andre Russell,9,99,155,9.393939393939394,14.142857142857142,22.142857142857142,61.61616161616161,7
Vijaykumar Vyshak,7,153,238,9.333333333333334,13.909090909090908,21.636363636363637,61.43790849673203,11
Wanindu Hasaranga,8,175,256,8.777142857142858,19.444444444444443,28.444444444444443,63.42857142857142,9
Yudhvir Singh,3,50,64,7.68,16.666666666666668,21.333333333333332,68.0,3
Arjun Tendulkar,4,68,78,6.88235294117647,17.0,19.5,72.05882352941177,4
Duan Jansen,1,28,49,10.5,28.0,49.0,57.14285714285714,1
Noor Ahmad,13,299,352,7.063545150501673,18.6875,22.0,70.5685618729097,16
Matheesha Pathirana,12,310,329,6.3677419354838705,13.478260869565217,14.304347826086957,73.54838709677419,23
Naveen-ul-Haq,7,175,208,7.131428571428572,15.909090909090908,18.90909090909091,70.28571428571428,11
Marcus S,5,69,96,8.347826086956522,13.8,19.2,65.21739130434783,5
Liam Livings,5,42,94,13.428571428571429,21.0,47.0,45.23809523809524,2
Ishant Sharma,8,157,191,7.2993630573248405,15.7,19.1,70.06369426751591,10
Kulwant Khejroliya,2,28,60,12.857142857142858,14.0,30.0,46.42857142857143,2
Anukul Roy,3,51,62,7.2941176470588225,17.0,20.666666666666668,70.58823529411765,3
Nitish Rana,6,54,74,8.222222222222223,18.0,24.666666666666668,66.66666666666666,3
Mayank Dagar,3,66,83,7.545454545454545,66.0,83.0,69.6969696969697,1
Jayant Yadav,1,24,26,6.5,0,0,75.0,0
Rahul Tewatia,2,14,14,6.0,0,0,78.57142857142857,0
