Batter,Total Matches Batted,Total Innings Dismissed,Total Runs,Batting Average,Total Balls Faced,Strike Rate,Sixes,Fours,Boundary %
Sandeep Sharma,2,0,2,0,6,33.33333333333333,0,0,0.0
Quin,4,4,143,35.75,95,150.5263157894737,8,10,18.947368421052634
Swapnil Singh,1,0,2,0,4,50.0,0,0,0.0
Kedar Jadhav,1,0,12,0,10,120.0,0,1,10.0
Deepak Chahar,1,0,1,0,2,50.0,0,0,0.0
Tushar Deshpande,1,0,0,0,0,0,0,0,0
Vishnu Vinod,3,3,36,12.0,26,138.46153846153845,2,2,15.384615384615385
Noor Ahmad,3,2,8,4.0,7,114.28571428571428,0,1,14.285714285714285
Alzarri Joseph,1,0,7,0,11,63.63636363636363,0,1,9.090909090909092
Prerak Mankad,4,3,93,31.0,67,138.80597014925374,2,12,20.8955223880597
Praveen Dubey,1,1,16,16.0,19,84.21052631578947,0,2,10.526315789473683
Joe Root,1,1,10,10.0,14,71.42857142857143,0,1,7.142857142857142
KM Asif,1,1,0,0.0,1,0.0,0,0,0.0
Dasun Shanaka,3,2,26,13.0,24,108.33333333333333,1,2,12.5
Mohammed Shami,2,2,5,2.5,4,125.0,0,1,25.0
Mohit Sharma,1,0,0,0,0,0,0,0,0
Sanvir Singh,2,1,11,11.0,7,157.14285714285714,1,1,28.57142857142857
Fazalhaq Farooqi,1,0,1,0,5,20.0,0,0,0.0
Vivrant Sharma,1,1,69,69.0,44,156.8181818181818,2,9,25.0
Darshan Nalkande,1,1,0,0.0,0,0,0,0,0
Chris Jordan,2,2,6,3.0,9,66.66666666666666,0,0,0.0
Mohsin Khan,1,1,0,0.0,6,0.0,0,0,0.0
Kumar Kartikeya,1,1,6,6.0,5,120.0,0,1,20.0
